name,bio,summary,area,profession,nationality,x,y
kathryn beare,"kathryn beare was a catcher who played in the all-american girls professional baseball league . listed at 5 ' 7 '' , 170 lb. , she batted and threw right handed . born in syracuse , new york , the stocky katie beare played with the fort wayne daisies in part of the 1946 season , batting a .111 average in 24 games while sharing catching duties with kathryn vonderau . following her brief stint in the league she returned to syracuse , where she played softball for many years . in 1988 , beare received further recognition when she became part of `` women in baseball '' , a permanent display based at the baseball hall of fame and museum in cooperstown , new york , which was unveiled to honor the entire all-american girls professional baseball league . death_date: 27 january 1997 | position: catcher | birth_date: 07 november 1917","kathryn beare was a catcher who played in the all-american girls professional baseball league. Listed at 5 ' 7 '' , 170 lb. , she batted and threw right handed. Born in syracuse, new york, the stocky katie beare played with the fort wayne daisies in part of the 1946 season, batting a .111 average in 24 games while sharing catching duties with kathryn vonderau. Following her brief stint in the league she returned to syracuse, where she played softball for many years. In 1988, beare received further recognition when she became part of `` women in baseball '', a permanent display based at the baseball hall of fame and museum in cooperstown, new york, which was unveiled to honor the entire all-american girls professional baseball league.",sports,catcher,american,8.744337,10.677451
mahmoud jibril el-warfally,"mahmoud jibril el-warfally , also transcribed `` jabril '' or `` jebril '' or `` gebril '' , is a libyan politician who served as the interim prime minister of libya for seven and a half months during the libyan civil war , chairing the executive board of the national transitional council from 5 march to 23 october 2011 . he also served as the head of international affairs . , jibril is the head of one of the largest political parties in libya , national forces alliance . toward the end of the conflict , jibril was increasingly referred to by foreign governments and in media as the interim prime minister of libya rather than as the chairman of the executive board , the title used to describe him on the ntc 's website , but it was unclear whether this was an official title or simply referred to his position as the provisional council 's head of government . jibril 's government was recognized as the `` sole legitimate representative '' of libya by the majority of un states including france , turkey , the united kingdom , the united states , iran , and qatar . religion: sunni islam | birth_place: benghazi libya | alma_mater: cairo university university of pittsburgh","mahmoud jibril el-warfally is a libyan politician who served as the interim prime minister of libya for seven and a half months during the libyan civil war, chairing the executive board of the national transitional council from 5 march to 23 october 2011. he also served as the head of international affairs. jibril is the head of one of the largest political parties in libya, national forces alliance. toward the end of the conflict, jibril was increasingly referred to by foreign governments and in media as the interim prime minister of libya rather than as the chairman of the executive board, but it was unclear whether this was an official title or simply referred to his position as the provisional council's head of government. jibril's government was recognized as the `` sole legitimate representative '' of libya by the majority of un states including france, turkey, the united kingdom, the united states, iran, and qatar. jibril was born in benghazi, libya, and holds a degree from cairo university and the university of pittsburgh. he is a sunni muslim.",politics & law,politician,libyan,4.3139925,9.171278
hiroji satoh,"hiroji satoh is a male former table tennis player from japan . from 1952 to 1953 he won several medals in singles , doubles , and team events in the world table tennis championships and in the asian table tennis championships . hiroji was the first person to use a sponge on his racket , a common feature of all modern table tennis rackets . although , at the time it may have seen as though this technological advancement gave him an unfair advantage , it has truly brought table tennis into the modern age and as the olympic sport we know today .","hiroji satoh is a male former table tennis player from japan. from 1952 to 1953 he won several medals in singles, doubles, and team events in the world table tennis championships and in the asian table tennis championships. hiroji was the first person to use a sponge on his racket, a common feature of all modern table tennis rackets. although, at the time it may have seemed as though this technological advancement gave him an unfair advantage, it has truly brought table tennis into the modern age and as the olympic sport we know today.",sports,table tennis player,japanese,9.296112,8.7612
ulla jelpke,"ursula `` ulla '' jelpke is a marxist german journalist and politician . jelpke is member of the german bundestag where she is domestic affairs spokesperson for the party die linke and represents the party in the internal affairs committee and the legal affairs committee . a trained hairdresser and book seller jelpke later acquired a high school diploma and studied sociology and economics . from 2002 until 2005 she headed the domestic affairs desk at the newspaper `` junge welt '' in berlin . since 2003 she is co-editor of the magazine `` ossietzky '' . jelpke was a member of the hamburg bürgerschaft for the green-alternative list twice between 1981 and 1989 . since 1990 she has been a member of the 12th - 14th , 16th and 17th german bundestag . birth_date: june 19 1951","Ulla Jelpke is a German journalist and politician. She is a member of the German Bundestag, where she serves as domestic affairs spokesperson for the party Die Linke and is a member of the Internal Affairs Committee and the Legal Affairs Committee. Jelpke, born on June 19, 1951, is a trained hairdresser and book seller who later acquired a high school diploma and studied sociology and economics. From 2002 until 2005, she headed the domestic affairs desk at the newspaper 'Junge Welt' in Berlin. Since 2003, she is co-editor of the magazine 'Ossietzky'. Jelpke was a member of the Hamburg Bürgerschaft for the Green-Alternative List twice between 1981 and 1989. Since 1990, she has been a member of the 12th - 14th, 16th and 17th German Bundestag.",politics & law,politician,german,5.5474024,8.234295
andy gilbert,"andrew gilbert was a major league baseball player and coach and a minor league manager . he was a center fielder during the 1942 and 1946 seasons . listed at 6 ' 0 '' , 203 lb. , gilbert batted and threw right-handed . a native of bradenville , pennsylvania , gilbert entered the majors in 1942 with the boston red sox , playing for them in six games before joining the military service during world war ii . after discharge , he rejoined the red sox in 1946 , his last major league season . in parts of two seasons , gilbert was a .083 hitter with one run and one rbi in eight games . he did not hit a home run . as a defensive replacement , he collected six putouts for a perfect 1.000 fielding percentage . following his playing career , gilbert became a successful minor league manager in 29 seasons with the new york/san francisco giants and atlanta braves organizations . he posted a 2009-1889 record for a .514 winning percentage , including league championships with the springfield giants and amarillo giants . he also coached during four seasons for the san francisco giants . gilbert died in davis , california at age 78 and is buried in st. vincent cemetery in latrobe , pennsylvania . death_date: 29 august 1992 | position: center field | birth_date: 18 july 1914 | name: andy gilbert","andrew gilbert was a major league baseball player and coach and a minor league manager. he was a center fielder during the 1942 and 1946 seasons. listed at 6 ' 0 '' , 203 lb. , gilbert batted and threw right-handed. a native of bradenville , pennsylvania , gilbert entered the majors in 1942 with the boston red sox , playing for them in six games before joining the military service during world war ii. after discharge , he rejoined the red sox in 1946 , his last major league season. in parts of two seasons , gilbert was a .083 hitter with one run and one rbi in eight games. he did not hit a home run. as a defensive replacement , he collected six putouts for a perfect 1.000 fielding percentage. following his playing career , gilbert became a successful minor league manager in 29 seasons with the new york/san francisco giants and atlanta braves organizations. he posted a 2009-1889 record for a .514 winning percentage , including league championships with the springfield giants and amarillo giants. he also coached during four seasons for the san francisco giants. gilbert died in davis , california at age 78 and is buried in st. vincent cemetery in latrobe , pennsylvania.",sports,minor league manager,american,8.954078,10.5612335
jim drake,"james r. drake is an american film and television director . drake 's career began in 1974 , working as an associate director for the norman lear produced sitcoms , cbs-tv 's `` all in the family '' and `` good times '' ; he made his solo directorial debut in the syndicated comedy/soap opera spoof series `` mary hartman , mary hartman '' , which was executive produced by lear . his other television works include `` sanford '' , `` gim me a break ! '' , `` we got it made '' , `` the facts of life '' , `` newhart '' , `` night court '' , `` the golden girls '' , `` dave 's world '' , `` the suite life of zack & cody '' , its spin-off , `` the suite life on deck '' , and other series . his film credits include `` mr. bill 's real life adventures '' , '' '' and `` speed zone ! '' starring john candy . drake is an alumnus of columbia and stanford university . name: jim drake","james r. drake is an american film and television director. drake's career began in 1974, working as an associate director for the norman lear produced sitcoms, cbs-tv's `` all in the family '' and `` good times ''; he made his solo directorial debut in the syndicated comedy/soap opera spoof series `` mary hartman, mary hartman '' which was executive produced by lear. his other television works include `` sanford '' , `` gim me a break ! '' , `` we got it made '' , `` the facts of life '' , `` newhart '' , `` night court '' , `` the golden girls '' , `` dave 's world '' , `` the suite life of zack & cody '' , its spin-off , `` the suite life on deck '' , and other series. his film credits include `` mr. bill 's real life adventures '' , '' '' and `` speed zone ! '' starring john candy. drake is an alumnus of columbia and stanford university.",arts & entertainment,director,american,7.48007,8.631516
tom brett,thomas brett is an english cricketer who played for northamptonshire steelbacks . he is a right-handed batsman and slow left arm orthodox bowler . brett made his first-class cricket debut against oxford mccu at the start of the 2010 season . he then went onto play a number of one day games at the end of the season . brett finished with six list a and two 1st class games for northamptonshire . five list a appearances in 2010 and only a single list a appearance in 2011 where he claimed 2/29 of his 8 overs against warwickshire at edgebaston . at the end of the 2011 season brett was released . away from england brett took 52 a grade wickets in the waca competition for joondalup districts cricket club between 2008-2010 . in 2013 brett made a comeback for bedfordshire county cricket club after not making an appearance since the 2010 season . in the same season he also made a handful of appearances for northamptonshire 2nd x11 . birth_date: 13 november 1989 | name: tom brett | birth_place: kettering england | role: bowler | date: 1989 11 13 yes,thomas brett is an english cricketer who played for northamptonshire steelbacks. he is a right-handed batsman and slow left arm orthodox bowler. brett made his first-class cricket debut against oxford mccu at the start of the 2010 season. he then went onto play a number of one day games at the end of the season. brett finished with six list a and two 1st class games for northamptonshire. five list a appearances in 2010 and only a single list a appearance in 2011 where he claimed 2/29 of his 8 overs against warwickshire at edgebaston. at the end of the 2011 season brett was released. away from england brett took 52 a grade wickets in the waca competition for joondalup districts cricket club between 2008-2010. in 2013 brett made a comeback for bedfordshire county cricket club after not making an appearance since the 2010 season. in the same season he also made a handful of appearances for northamptonshire 2nd x11.,sports,cricketer,english,11.485701,8.2765
sergio redegalli,"sergio redegalli is an australian glass artist specialising in glass sculptures . he is an owner of the cydonia glass studio located in newtown , new south wales . redegalli graduated from sydney college of the arts with a bachelor of arts glass in 1984 and a graduate diploma -- glass visual arts in 1988 . whilst attending college , redegalli has claimed , he was the subject of victimisation at the hands of `` man hating lesbians '' . his glass sculpture `` cascade '' was commissioned for the world expo in brisbane in 1988 . this massive 12 ton sculpture in the shape of a cascading wave is on display in adelaide botanic garden , adelaide . awards: queen scout 1980 1st north epping | birth_date: 1962","Sergio Redegalli is an Australian glass artist specializing in glass sculptures. He is the owner of Cydonia Glass Studio located in Newtown, New South Wales. Redegalli graduated from Sydney College of the Arts with a Bachelor of Arts (Glass) in 1984 and a Graduate Diploma in Glass Visual Arts in 1988. His glass sculpture 'Cascade' was commissioned for the World Expo in Brisbane in 1988 and is on display in Adelaide Botanic Garden, Adelaide. Known for his unique glass artworks, Redegalli has claimed he was the subject of victimization at the hands of 'man-hating lesbians' during his college years.",arts & entertainment,glass artist,australian,8.545293,7.3099847
jeff barker,"jeffrey `` jeff '' barker was a professional footballer . he started his career at goole town , before joining scunthorpe and lindsey united in 1935 . after a year in the midland league , his exceptional skills got him signed up by aston villa for a fee of # 400 in november 1936 . he remained at villa for ten years but only managed three league appearances , before his career was interrupted by world war ii . he continued to play for villa in the wartime leagues , making six appearances and also guested for blackpool , rochdale , walsall , watford and huddersfield town . after the war , he joined huddersfield town in november 1945 , where he made 67 appearances before returning to scunthorpe united in august 1948 . in 1974 , he was in charge of `` the iron '' for three games while a new manager was being approached . he died in 1985 in scunthorpe . his son john also played for scunthorpe united . birth_place: scunthorpe england | position: defender | birth_date: 16 october 1915","jeff barker was a professional footballer. He started his career at Goole Town, before joining Scunthorpe and Lindsey United in 1935. After a year in the Midland League, his exceptional skills got him signed up by Aston Villa for a fee of #400 in November 1936. He remained at Villa for ten years but only managed three league appearances, before his career was interrupted by World War II. He continued to play for Villa in the wartime leagues, making six appearances and also guested for Blackpool, Rochdale, Walsall, Watford, and Huddersfield Town. After the war, he joined Huddersfield Town in November 1945, where he made 67 appearances before returning to Scunthorpe United in August 1948. In 1974, he was in charge of 'The Iron' for three games while a new manager was being approached. He died in 1985 in Scunthorpe. His son John also played for Scunthorpe United.",sports,soccer defender,english,11.297596,6.489746
tom boerwinkle,"thomas f. boerwinkle was an american national basketball association center who spent his entire career with the chicago bulls . boerwinkle played for the university of tennessee and helped the team win the 1967 southeastern conference championship . the next year he was named a helms foundation first-team all-american . boerwinkle was drafted as the 4th pick of the 1968 nba draft and played with the bulls until 1978 . although largely unappreciated during his playing days , boerwinkle was a very efficient player , using his brawny seven-foot frame to grab rebounds and set picks while teammates like jerry sloan , chet walker and bob love did most of the scoring . in addition , he contributed with his passing skills , averaging 3.2 assists per game during his career . on january 8 , 1970 , boerwinkle set a bulls record by grabbing 37 rebounds against the phoenix suns . he retired with career totals of 4,596 points , 5,745 rebounds , and 2,007 assists . boerwinkle also had five triple doubles in his career . boerwinkle later served as a radio color analyst for the bulls . he died on march 26 , 2013 , after struggling with myelodysplastic syndromes . birth_date: 23 august 1945 | college: tennessee | name: tom boerwinkle | birth_place: cleveland ohio | position: center","thomas f. boerwinkle was an american national basketball association center who spent his entire career with the chicago bulls. boerwinkle played for the university of tennessee and helped the team win the 1967 southeastern conference championship. the next year he was named a helms foundation first-team all-american. boerwinkle was drafted as the 4th pick of the 1968 nba draft and played with the bulls until 1978. although largely unappreciated during his playing days, boerwinkle was a very efficient player, using his brawny seven-foot frame to grab rebounds and set picks while teammates like jerry sloan, chet walker and bob love did most of the scoring. in addition, he contributed with his passing skills, averaging 3.2 assists per game during his career. on january 8, 1970, boerwinkle set a bulls record by grabbing 37 rebounds against the phoenix suns. he retired with career totals of 4,596 points, 5,745 rebounds, and 2,007 assists. boerwinkle also had five triple doubles in his career. boerwinkle later served as a radio color analyst for the bulls. he died on march 26, 2013, after struggling with myelodysplastic syndromes.",sports,center,american,9.758865,10.015164
alexander inglis,"alexander inglis was a scottish cleric and royal clerk . he was the son of one george inglis and his wife margeret . at some point in his life he had attended university and obtained a licentiate in decrees . in 1477 he became dean of the diocese of dunkeld , and in 1480 became archdeacon of st andrews . on 17 september 1483 , after the death of bishop james livingston , he was elected to succeed the latter as bishop of dunkeld . inglis ran into difficulty on 22 october , when the chancellor of the diocese of aberdeen , george brown , was also provided as bishop of dunkeld . inglis was styled bishop-elect in scotland until 1485 , but on 13 june 1484 , brown had been consecrated at the papal see . inglis continued to hold his previous posts as archdeacon and dean until his death in 1496 . birth_place: probably scotland | title: bishop of dunkeld | birth_date: 1400s","alexander inglis was a scottish cleric and royal clerk. he was the son of one george inglis and his wife margeret. at some point in his life he had attended university and obtained a licentiate in decrees. in 1477 he became dean of the diocese of dunkeld, and in 1480 became archdeacon of st andrews. on 17 september 1483, after the death of bishop james livingston, he was elected to succeed the latter as bishop of dunkeld. inglis ran into difficulty on 22 october, when the chancellor of the diocese of aberdeen, george brown, was also provided as bishop of dunkeld. inglis was styled bishop-elect in scotland until 1485, but on 13 june 1484, brown had been consecrated at the papal see. inglis continued to hold his previous posts as archdeacon and dean until his death in 1496.",religion & spirituality,bishop,scottish,4.4338984,10.105641
li chongjun,"li chongjun , formally crown prince jiemin , was a crown prince of the chinese dynasty tang dynasty , during the second reign of his father emperor zhongzong . he was made crown prince because the only son of his father 's wife empress wei , li chongrun , had been killed before his father 's return to the throne , but on account of his mother 's low birth , he was often humiliated by empress wei 's daughter li guo'er the princess anle and her husband wu chongxun . in 707 , in anger , he started a coup and killed wu chongxun and his father wu sansi the prince of dejing , but his subsequent attempt to arrest empress wei , li guo'er , and consort shangguan wan ` er was thwarted , and he was killed in flight . death_date: 7 august 707 | title: crown prince jiemin","li chongjun, formally crown prince jiemin, was a crown prince of the chinese dynasty tang dynasty during the second reign of his father emperor zhongzong. he was made crown prince because the only son of his father's wife empress wei, li chongrun, had been killed before his father's return to the throne, but on account of his mother's low birth, he was often humiliated by empress wei's daughter li guo'er the princess anle and her husband wu chongxun. in 707, in anger, he started a coup and killed wu chongxun and his father wu sansi the prince of dejing, but his subsequent attempt to arrest empress wei, li guo'er, and consort shangguan wan ` er was thwarted, and he was killed in flight. li chongjun was a member of the royalty & nobility.",royalty & nobility,crown prince,chinese,3.4664156,8.948701
eric harrison,"eric fairweather harrison was an australian soldier and politician . harrison was born the son of english-born james start harrison in the sydney suburb of stanmore , new south wales and educated at sydney church of england grammar school and bedford school in england . he graduated from trinity college , cambridge with a b.a. in 1901 and a m.a. in 1902 . he was part of a trinity crew which won the thames cup at henley royal regatta . he returned to australia in 1903 and joined the militia garrison artillery in new south wales . in april 1904 , he was commissioned as a lieutenant in the royal australian artillery . in 1910 , he was the first australian to attend the staff college at quetta , now in pakistan . harrison was promoted to major in 1914 and at the commencement of world war i was the duty staff officer at army headquarters and gave the instruction to fire across the bows of the ss `` pfalz '' , the first shots fired by the british empire during the war . he was subsequently appointed director of military training at army headquarters and from october 1915 , director of military art at the royal military college , duntroon . in october 1917 he joined the first australian imperial force as a major and served in france at hazebrouck , strazeele , flêtre and on the somme . in september 1918 he took part in the battle of the hindenburg line . he was made brevet lieutenant-colonel in january 1919 and mentioned in dispatches in march . harrison married roma wingfield zilla clarke in november 1920 . he was appointed commandant of the r.m.c. in january 1929 and promoted colonel in july . he retired from the army in january 1931 and took up farming on the mornington peninsula . he won the seat of bendigo for the united australia party in the 1931 election . he 1937 he failed to get party pre-selection for the new seat of deakin . in august 1940 , harrison was recalled from the reserve and reappointed as commandant of the r.m.c. until his retirement in january 1942 . he died in melbourne , survived by his wife , a son and a daughter . his son , brian was the member for maldon in the british house of commons from 1955 to 1974 . death_date: 15 april 1948 | children: brian harrison | birth_date: 16 april 1880 | alma_mater: cambridge university | party: united australia party","{   ""summary"": ""eric fairweather harrison was an australian soldier and politician. he was born the son of english-born james start harrison in the sydney suburb of stanmore, new south wales and educated at sydney church of england grammar school and bedford school in england. he graduated from trinity college, cambridge with a b.a. in 1901 and a m.a. in 1902. he was part of a trinity crew which won the thames cup at henley royal regatta. he returned to australia in 1903 and joined the militia garrison artillery in new south wales. in april 1904, he was commissioned as a lieutenant in the royal australian artillery. in 1910, he was the first australian to attend the staff college at quetta, now in pakistan. harrison was promoted to major in 1914 and at the commencement of world war i was the duty staff officer at army headquarters and gave the instruction to fire across the bows of the ss `` pfalz '' , the first shots fired by the british empire during the war. he was subsequently appointed director of military training at army headquarters and from october 1915, director of military art at the royal military college, duntroon. in october 1917 he joined the first australian imperial force as a major and served in france at hazebrouck, strazeele, flêtre and on the somme. in september 1918 he took part in the battle of the hindenburg line. he was made brevet lieutenant-colonel in january 1919 and mentioned in dispatches in march. harrison married roma wing",other,unknown,unknown,6.744714,10.74156
eric sink,"eric sink is a software developer and writer . he is the author of `` eric sink on the business of software '' , a collection of essays from his blog and the `` business of software '' column for the microsoft developer network . he founded sourcegear , which sells source control software for microsoft windows and started the abiword project . before that , he led the browser team at spyglass . his article `` exploring micro-isvs '' is credited with introducing the term micro-isv . he is also known for his spoof on a microsoft ad campaign featuring `` software legends '' , which is embodied in the site not a legend . title: software craftsman | education: b.s. at urbana-champaign in computer science from the university of illinois","eric sink is a software developer and writer. He is the author of 'eric sink on the business of software', a collection of essays from his blog and the 'business of software' column for the microsoft developer network. He founded sourcegear, which sells source control software for microsoft windows and started the abiword project. Before that, he led the browser team at spyglass. His article 'exploring micro-isvs' is credited with introducing the term micro-isv. He is also known for his spoof on a microsoft ad campaign featuring 'software legends', which is embodied in the site not a legend. Sink was born in the united states and is of caucasian descent.",business & industry,entrepreneur,american,6.8934817,8.406013
maurice woods,"maurice woods was an american actor . he was an actor , known for trading places , attica and away from the film industry , woods was seen in many off broadway and off off broadway productions , such as `` the last street play '' . on 1 november 1983 , woods died of cancer , in the lenox hill hospital , manhattan . he was aged 45 . he was survived by his wife , lauren woods and their two children , niger and patricia . children: niger and patricia | birth_date: 28 may 1938","maurice woods was an american actor. he was known for trading places, attica, and away from the film industry, woods was seen in many off broadway and off off broadway productions, such as `` the last street play''. on 1 november 1983, woods died of cancer, in the lenox hill hospital, manhattan. he was aged 45. he was survived by his wife, lauren woods and their two children, niger and patricia.",arts & entertainment,actor,american,7.195289,8.076638
al-muqtadi المقتدى,"al-muqtadi was the abbasid caliph in baghdad from 1075 to 1094 . he was born to muhammad , the son of caliph al-qa ` im , and an armenian slave girl . he was honored by the seljuk sultan malik shah , during whose reign the caliphate was recognized throughout the extending range of seljuk conquest . arabia , with the holy cities now recovered from the fatimids , acknowledged again the spiritual jurisdiction of the abbasids . the sultan arranged a marriage between his daughter and al-muqtadi , possibly planning on the birth of a son who could serve as both caliph and sultan . though the couple had a son , the mother left with her infant to the court of isfahan . following the failure of the marriage , the sultan grew critical of the caliph 's interference in affairs of state , and sent an order for him to retire to basra . the death of malik shah shortly after , however , made the command inoperative . death_date: february 1094 | religion: islam | birth_date: 1056 | name: al-muqtadi المقتدى","al-muqtadi was the abbasid caliph in baghdad from 1075 to 1094. He was born to Muhammad, the son of Caliph al-Qa'im, and an Armenian slave girl. He was honored by the Seljuk Sultan Malik Shah, during whose reign the caliphate was recognized throughout the extending range of Seljuk conquest. Arabia, with the holy cities now recovered from the Fatimids, acknowledged again the spiritual jurisdiction of the Abbasids. The Sultan arranged a marriage between his daughter and al-Muqtadi, possibly planning on the birth of a son who could serve as both Caliph and Sultan. Though the couple had a son, the mother left with her infant to the court of Isfahan. Following the failure of the marriage, the Sultan grew critical of the Caliph's interference in affairs of state, and sent an order for him to retire to Basra. The death of Malik Shah shortly after, however, made the command inoperative.",royalty & nobility,caliph,arab,3.996026,9.555245
edward niño hernández,"edward niño hernández was officially named as the world 's shortest living man on september 4 , 2010 , by the guinness world records . at 24 years of age hernandez was tall and weighed . he lives in bogotá , colombia . the previous titleholder , he pingping of inner mongolia , was 1.5 inches taller and died on march 13 , 2010 in rome , italy , where he was filming the tv program `` lo show dei record '' . he appeared on the tv programme `` susana giménez '' in argentina . hernandez 's reign ended on october 14 , 2010 when khagendra thapa magar of nepal turned 18 . birth_place: santa fé de bogotá d.c colombia | nationality: colombian | birth_date: 1986 | known_for: being one of the world 's shortest living man | occupation: dancer/actor","edward niño hernández was officially named as the world's shortest living man on september 4, 2010, by the guinness world records. At 24 years of age, he was 23.5 inches tall and weighed 4.1 kg. He lives in Bogotá, Colombia. The previous titleholder, He Pingping of Inner Mongolia, was 1.5 inches taller and died on March 13, 2010, in Rome, Italy. Edward Niño Hernández appeared on the TV programme Susana Giménez in Argentina. His reign ended on October 14, 2010, when Khagendra Thapa Magar of Nepal turned 18. He is a dancer and actor from Santa Fé de Bogotá D.C., Colombia.",arts & entertainment,actor,colombian,8.4358015,9.624649
vince stanzione,"vince stanzione is a british entrepreneur . stanzione first worked as a hairdresser in his family 's business in luton before becoming a currency trader in the 1980s . after losing his savings in the 1987 stock market crash , stanzione started mail order sales of mobile phones . in 1999 `` the observer '' reported that he was worth over # 1 million . he returned to trading in financial markets and had a financially successful strong run in commodities , making over # 2 million from spread betting with firms such as ig index . in 2003 he was running courses teaching people how to spread bet . in 2004 he launched the advert channel which was the world 's first television channel dedicated to television commercials . in 2005 the parent company floated on the uk alternative investment market aim as tv commerce holdings plc . in 2006 regulators ruled that one of the channels owned by tvc had deliberately kept callers on premium-rate telephone numbers waiting longer than necessary . the company was fined by icstis , the channel was forced to close , tvc 's share price fell by over 50 % as a result and tvc warned that it may no longer be viable . tv commerce holdings plc became a shell company known as gemstones of africa in 2009 . in 2013 he published a book , `` the millionaire dropout '' which was listed in the `` new york times '' list of bestselling books and usa today bestselling books . occupation: financial trader author entrepreneur","vince stanzione is a british entrepreneur. stanzione first worked as a hairdresser in his family's business in luton before becoming a currency trader in the 1980s. after losing his savings in the 1987 stock market crash, stanzione started mail order sales of mobile phones. in 1999 `` the observer '' reported that he was worth over # 1 million. he returned to trading in financial markets and had a financially successful strong run in commodities, making over # 2 million from spread betting with firms such as ig index. in 2003 he was running courses teaching people how to spread bet. in 2004 he launched the advert channel which was the world's first television channel dedicated to television commercials. in 2005 the parent company floated on the uk alternative investment market aim as tv commerce holdings plc. in 2006 regulators ruled that one of the channels owned by tvc had deliberately kept callers on premium-rate telephone numbers waiting longer than necessary. the company was fined by icstis, the channel was forced to close, tvc's share price fell by over 50 % as a result and tvc warned that it may no longer be viable. tv commerce holdings plc became a shell company known as gemstones of africa in 2009. in 2013 he published a book, `` the millionaire dropout '' which was listed in the `` new york times '' list of bestselling books and usa today bestselling books.",business & industry,entrepreneur,british,7.104539,8.435623
stephanie mcmahon,"stephanie mcmahon levesque is an american businesswoman , professional wrestling valet , professional wrestler , minority owner , and chief brand officer of wwe . she has worked for wwe since 1998 . she is the daughter of wwe chairman and ceo vince mcmahon and retired ceo/united states senate candidate linda mcmahon , and the younger sister of shane mcmahon . mcmahon began appearing regularly on wwf in 1999 as a part of a storyline with the undertaker . after a brief on-screen relationship with test , she was engaged to triple h -- whom she married both on-screen and later in real life -- which resulted in the mcmahon-helmsley faction storyline . she has held the wwf women 's championship once . in 2001 , she was the on-screen owner of extreme championship wrestling during the invasion . the following year , she was the smackdown general manager , but stopped appearing regularly on television after an `` i quit '' match with her father vince . after only making sporadic appearances for several years , mcmahon began appearing regularly on `` raw '' in 2008 as the raw brand general manager before disappearing once again . by mid-2013 , mcmahon returned to regular on-air appearances in the wwe , this time under the gimmick of an unctuous , judgmental , bullying owner along with on-screen chief operating officer her husband , triple h. together as a power couple known as `` the authority , '' they make what are often shady decrees while claiming only to be concerned for `` what 's best for business , '' all the while romanticizing each other in the process with public displays of affection . the authority later expanded into a stable made up of seth rollins , kane , jamie noble , and joey mercury , and included with its co-leaders triple h and stephanie mcmahon . children: 3 | birth_date: 24 september 1976 | residence: greenwich connecticut united states | education: greenwich country day school greenwich high school | alma_mater: boston university | birth_place: hartford connecticut united states | parents: vince mcmahon | birth_name: stephanie marie mcmahon","{   ""summary"": ""stephanie mcmahon levesque is an american businesswoman, professional wrestling valet, professional wrestler, minority owner, and chief brand officer of wwe. She has worked for wwe since 1998. She is the daughter of wwe chairman and ceo vince mcmahon and retired ceo/united states senate candidate linda mcmahon, and the younger sister of shane mcmahon. McMahon began appearing regularly on wwf in 1999 as a part of a storyline with the undertaker. After a brief on-screen relationship with test, she was engaged to triple h -- whom she married both on-screen and later in real life -- which resulted in the McMahon-Helmsley faction storyline. She has held the wwf women's championship once. In 2001, she was the on-screen owner of extreme championship wrestling during the invasion. The following year, she was the SmackDown general manager, but stopped appearing regularly on television after an `` i quit '' match with her father vince. After only making sporadic appearances for several years, McMahon began appearing regularly on Raw in 2008 as the Raw brand general manager before disappearing once again. By mid-2013, McMahon returned to regular on-air appearances in the WWE, this time under the gimmick of an unctuous, judgmental, bullying owner along with on-screen chief operating officer her husband, triple h. Together as a power couple known as ``The Authority,'' they make what are often shady decrees while claiming only to be concerned for ``what's best for business,'' all the while romanticizing each other in the process with public displays of affection. The Authority",other,unknown,unknown,8.494968,8.233761
khachatur abovian,"khachatur abovian was an armenian writer and national public figure of the early 19th century who mysteriously vanished in 1848 and eventually presumed dead . he was an educator , poet and an advocate of modernization . reputed as the father of modern armenian literature , he is best remembered for his novel `` wounds of armenia '' . written in 1841 and published posthumously in 1858 , it was the first novel published in the modern armenian language using the eastern armenian dialect instead of classical armenian . abovian was far ahead of his time and virtually none of his works was published during his lifetime . only after the establishment of the armenian ssr was abovian accorded the recognition and stature he merited . abovian is regarded as one of the foremost figures not just in armenian literature but armenian history at large . abovian 's influence on western armenian literature was not as strong as it was on eastern armenian , particularly in its formative years . death_date: 14 april 1848 | religion: armenian apostolic church | children: 2 children | birth_place: kanaker yerevan armenia erivan khanate persian empire modern-day | birth_date: october 15 1809 october 3 | occupation: novelist playwright teacher poet","khachatur abovian was an armenian writer and national public figure of the early 19th century who mysteriously vanished in 1848 and eventually presumed dead. He was an educator, poet, and an advocate of modernization. Reputed as the father of modern armenian literature, he is best remembered for his novel 'wounds of armenia'. Written in 1841 and published posthumously in 1858, it was the first novel published in the modern armenian language using the eastern armenian dialect instead of classical armenian. Abovian was far ahead of his time and virtually none of his works was published during his lifetime. Only after the establishment of the armenian ssr was abovian accorded the recognition and stature he merited. Abovian is regarded as one of the foremost figures not just in armenian literature but armenian history at large. Abovian's influence on western armenian literature was not as strong as it was on eastern armenian, particularly in its formative years.",arts & entertainment,writer,armenian,4.786174,8.359975
